marca,modelo,pvp_euro,cilindro,cc,potencia,rpm,peso,plazas,cons90,cons120,consurb,velocida,acelerac,acel2
12,Frontera Sport 2.8 T,25906.6666666667,4,2771,113,3600,1803,5,7.4,10.5,12,149,16,2
12,Frontera 2.8 TDi 5p,27480,4,2771,113,3600,1828,5,7.1,10.5,9.5,149,16.8,2
12,Monterey 3.2i V6 24V,32440,6,3165,177,5200,1920,5,7.4,11,9.8,173,11.5,2
12,Monterey 3.2i V6 24V,32573.3333333333,6,3165,177,5200,1795,4,10.6,14.6,18.1,173,11.5,2
12,Monterey 3.1 TD 3p,32573.3333333333,4,3059,114,3600,1900,4,10.6,14.6,18.1,150,16.6,2
12,Monterey 3.1 TD 5p,32573.3333333333,4,3059,114,3600,1985,5,10.1,16.2,12.4,150,16.6,2
13,Korando K4 D,15300,4,2238,68,4300,1590,4, , ,12.7,142, ,2
13,Family RV,18883.3333333333,4,2498,79,4500,1690,7,8.5,13.2,12.9,135, ,2
13,Musso 602 STD,22633.3333333333,4,2874,95,4000,1755,5,8,12.3,11.6,145,22,2
13,Musso 602 LUX,26633.3333333333,4,2874,95,4000,1755,5,8,12.3,11.6,145,22,2
14,Samurai Corto T lona,9113.33333333333,4,1298,69,6000,930,4,7.9,8.4,8.9,130, ,2
14,Samurai Corto T met,9700,4,1298,69,6000,950,4,7.9,8.4,8.9,130, ,2
14,Samurai Corto T duro,9924.66666666667,4,1298,69,6000,950,4,7.9,8.4,8.9,130, ,2
14,Samurai Longb. T dur,10583.3333333333,4,1298,69,6000,1040,4,7.9,8.4,8.9,130, ,2
14,Vitara Xaloc t. lona,12133.3333333333,4,1590,81,5400,1035,4,7.8,10.9,10.1,144, ,2
14,Vitara Xaloc t. met,12842,4,1590,81,5400,1045,4,7.8,10.9,10.1,144, ,2
14,Vitara Xaloc Hard To,13600,4,1590,81,5400,1065,4,7.8,10.9,10.1,144, ,2
14,Vitara Xaloc 16V T.,14920,4,1590,95,5600,1105,4,7.8,10.9,10.1,144, ,2
14,Vitara Xaloc 16V t.m,15202.6666666667,4,1590,95,5600,1115,4,7.8,10.9,10.1,144, ,2
14,Vitara Xaloc 16V Har,15620,4,1590,95,5600,1135,4,7.8,10.9,10.1,144, ,2
14,Vitara Xaloc r. anch,16200,4,1590,95,5600,1165,4,9.6,11.4,9.8, , ,2
14,Vitara Xaloc r. anch,16615.3333333333,4,1590,95,5600,1175,4,9.6,11.4,9.8, , ,2
14,Vitara Wagon Xaloc t,16280.6666666667,4,1590,95,5600,1195,4,7.7,10.4,10.7,148, ,2
14,Vitara Wagon Calox t,17530,4,1590,95,5600,1195,5,7.7,10.4,10.7,148, ,2
14,Vitara Wagon V6,22266.6666666667,6,1998,136,6500,1310,5,8.2,10.6,12.9,160, ,2
14,Vitara Wagon V6 supe,24200,6,1998,136,6500,1310,5,8.2,10.6,12.9,160, ,2
14,Vitara Diesel Techo,15606.6666666667,4,1905,68,4600,1277,4,6.7,8.4,8.1,140, ,2
14,Vitara Diesel Techo,16480,4,1905,68,4600,1277,4,6.7,8.4,8.1,140, ,2
14,Vitara Diesel Hard T,16900,4,1905,68,4600,1277,4,6.7,8.4,8.1,140, ,2
15,TelcoLine pick-up,11329.3333333333,4,1948,68,4500,1615,2,8.3,9,10.2, , ,2
15,TelcoSport,13834.9333333333,4,1948,68,4500,1615,5,8.3,9,10.2,135, ,2
16,Rav4,21056.6933333333,4,1998,129,5600,1150,4,7.1,9.7, ,170, ,2
16,Rav4 5p,22969.26,4,1998,129,5600,1220,5,7.1,9.7,10.4,170, ,2
16,4 Runner V6,28392.76,6,2959,143,4600,1850,5,10.7,15.5,16.1,165, ,2
16,4 Runner 3.0 TD,29786.1133333333,4,2982,125,3600,1905,5,9.1,13.6,11.8,164, ,2
16,4 Runner 3.0 TD VX,31958.3333333333,4,2982,125,3600,1905,5,9.1,13.6,11.8,165, ,2
16,Land Cruiser HDJ80 V,54965.3333333333,6,4164,170,3600,2320,8,9.1,13.5,11,170, ,2
17,Marathon Base,11555.0733333333,4,2498,76,4500,1590,7, , ,11.8,120, ,2
17,Marathon LX,12657.68,4,2498,76,4500,1590,7, , ,11.8,120, ,2
17,Marathon Base Hard T,12888.4066666667,4,2498,76,4500,1590,7, , ,11.8,120, ,2
17,Marathon LX Hard Top,13991.0133333333,4,2498,76,4500,1590,7, , ,11.8,120, ,2
